Year,Month,Day,Place,Hot.Dogs,MINS,NAME,CONTEST,Qual,Gender,Location
2021,Jul,4,1st,76,10,"Joey ""Jaws"" Chestnut",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,2nd,50,10,Geoffrey Esper,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,3rd,44,10,Nick Wehry,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,4th,43,10,Darron Breeden,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,5th,37.75,10,Gideon Oji,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,6th,32.5,10,"Gordon ""Hungry"" Hazzard",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,7th,32,10,George Chiger,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,8th,30.75,10,"Adrian ""The Rabbit"" Morgan",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,9th,30,10,"Juan ""more bite"" Rodriguez",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,10th,28,10,"Erik ""The Red"" Denmark",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,11th,27,10,"Brian ""Dud Light"" Dudzinski",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,11th,27,10,"Steve ""The Rabbit"" Hammond",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,11th,27,10,"Ronnie ""MegaByte"" Hartman",Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,11th,27,10,Derek Jacobs,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,15th,25.5,10,Derek Hendrickson,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,16th,21.5,10,Pablo Martinez,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,17th,17,10,Crazy Legs Conti,Nathan's Famous Hot Dog Eating Contest ,, men,"Brooklyn, NY"
2021,Jul,4,1st,30.75,10,"Michelle ""Cardboard Shell"" Lesco",Nathan's Famous Hot Dog Eating Contest ,, women,"Brooklyn, NY"
2021,Jul,4,2nd,24,10,"Sarah ""Unstoppable Bab"" Rodriguez",Nathan's Famous Hot Dog Eating Contest ,, women,"Brooklyn, NY"
2021,Jul,4,3rd,18.25,10,"Larell Marie ""The Real Deal"" Mele",Nathan's Famous Hot Dog Eating Contest ,, women,"Brooklyn, NY"
2021,Jul,4,4th,16,10,Katie Prettyman,Nathan's Famous Hot Dog Eating Contest ,, women,"Brooklyn, NY"
2021,Jul,4,5th,15,10,Sophia Devita,Nathan's Famous Hot Dog Eating Contest ,, women,"Brooklyn, NY"
